,Athlete ID,Start,Stop,Total Time (s),Moving Time (s),Distance (mi),Elevation Gain (ft),Elevation Loss (ft)
21,4af10812eaeec058866ab6423f15c4b2f4c82f6082125b1fc7392f6d4efdb40879a913947ad44e0ab79dda680d7a8224e0235c9e5b5248071d2a6f320a5714f3,2021-01-07T22:56:25Z,2021-01-07T23:40:33Z,4927.0,4844.0,4.001835530501869,698.8188976377952,734.9081364829395
22,bcd5f8dd8042f8521f228b98c0000d229e2c98acf266855a52906f8369ae48b9eada87827853b6df8b91efd858ca412720f23c28d94a4e5c211257fe9eec4191,2021-02-05T20:19:33Z,2021-02-05T22:00:30Z,6057.0,5821.0,4.102833204088125,715.2230971128608,715.2230971128608
23,92a1f2625383159c0ab7d6b50507f5b337489e366cc9171ab60912c1f171fc334aa77447a4e1afc05abc8feef6197f833c4d55c4c88051918e3fc233d2cd13a1,2021-02-03T17:49:28Z,2021-02-03T20:04:44Z,8116.0,6517.0,4.019115863357989,728.3464566929133,731.6272965879265
24,9f97042d5de95bae181fb6e052a9b6527f9f933fb24c7e94fe7d62d7e186e1f44f13a65cfb7f7f5ad71967c0b113c060a02a0d65e95e1c9062abe3a8f9d648a2,2021-02-02T22:59:25Z,2021-02-03T01:18:50Z,8365.0,7569.0,4.071888918714706,728.3464566929133,718.5039370078739
25,fc2ccac66abb979887c3ff56d35266ae6f2fa54f983c2b2fa2e971185ff47c1679bd8eaa127d2e224f51dfd3165430a485d34fc5596352e863b2311f6e0a0349,2021-02-02T21:19:19Z,2021-02-02T21:24:05Z,286.0,286.0,0.06728207269545852,39.370078740157474,0.0
26,0efb552418ed444458d20a9afcf8082eec972e50e5babf035bee068890eadb1d10da0709bf0f0bdf95b49341272a3485da29690ec442b665e5fd928eac40b77e,2021-02-02T19:54:06Z,2021-02-02T20:58:08Z,3842.0,3582.0,2.872418824067446,583.9895013123358,570.8661417322834
27,ea606ca1df70ebd4550053e27b887e999417f0c8dcd7236e8254ecd1496a2c490760cb85d579fe65de98973c5fa0f6ebc72486d18f19847816963a0d034acc6a,2021-02-02T19:46:11Z,2021-02-02T21:54:20Z,7690.0,7314.0,4.524439771733078,741.4698162729658,731.6272965879265
28,d371d7556e15584fc4ea3b881769ad1f5f13a7207e4aa4e1c481e5aaa3d0faac5677e0165ee13d4a6f884d4c778bc2d8f3d3c72eeee8da5f5788e5d7eb2a0580,2021-02-02T18:25:09Z,2021-02-02T20:32:03Z,7614.0,7122.0,3.3358809552215063,1463.254593175853,1476.3779527559054
29,db9a0dd936d0f549740086d2fb556b576f6fe81852a5ef77951b12007e9e669eafb0c79ee995f7549226fd9058b23a012c8a68d22a180c3cf97871c4d6434ed3,2021-02-02T14:31:08Z,2021-02-02T16:01:47Z,5439.0,5070.0,3.8570498289986475,708.6614173228346,718.5039370078739
30,d8fe6d048cb2b49a216b5af3df5f2c4c164353eab52f81966d98fb6c45f1c2da85ac27ca53e9a637bb4d2d7f6b6b9c3cd5c026aa82485d5d0831227edabc93ee,2021-02-01T20:32:06Z,2021-02-01T21:53:41Z,4894.0,4322.0,2.989230394496142,606.9553805774277,580.7086614173228
