,Athlete ID,Start,Stop,Total Time (s),Moving Time (s),Distance (mi),Elevation Gain (ft),Elevation Loss (ft)
26,24d82caeef8224c2081ffe49760efcc9864f653ecd1a974856a5e81b5757f5b857004245a7a901b9ed4458f3853ffee62967657907d3e2927b9f36990bde51f0,2020-07-16T19:36:50Z,2020-07-16T22:21:02Z,9852.0,9325.0,6.4728796329436085,190.28871391076115,193.56955380577426
27,193687c6cd7532e6df3ce62f8b70c258e70d8b8141c872c8a51c49d73d70fc0c12192094c2e3a672b7c417474a03e54da3052cc3bf294fa76efb310d02e8165f,2020-07-08T15:06:21Z,2020-07-08T16:11:31Z,3911.0,3660.0,2.8324522289827407,78.74015748031495,78.74015748031495
28,76a69a0ad5103bbdf7fb19b69224693f8a80a1735cbd9b7ae58afe6822dc9bc885cf8911804d96242d6a0fdce7b80a97224eee65e697a7bf0b64ec08dd71a76a,2020-06-26T13:08:17Z,2020-06-26T13:42:00Z,4188.0,4064.0,2.7851037441342554,88.58267716535433,82.02099737532808
29,f093306f839ea0965f7b8f02a36d6b6f02b9e4a693d70ea5d72282a3bc5ae747cf12120af88c625e5f7009b084145c780ac7c7c6736e4430118eb9d4a91553ec,2020-06-25T14:27:41Z,2020-06-25T15:06:00Z,2298.0,2244.0,1.2752525252525253,39.370078740157474,32.80839895013123
30,742ceec2388431c8c43546479b0c73471c125b3ba9dbd25da16f3b7542c41c004c782476d66ac376e25d99cd184c193ecb43a9c82905727bd29f9698b9f67e1d,2020-06-14T18:46:54Z,2020-06-14T19:44:52Z,3478.0,3271.0,1.7979499721625705,45.93175853018372,49.212598425196845
31,6fb0028e5d778ade09e618b4a800efba62675d56bc08171ea62e5114bb3d728a7465c59e40ec9974d41d5ce9914df8c4e5b7782c6949c77af3f9439146ebf978,2020-06-14T16:28:28Z,2020-06-14T16:57:17Z,1730.0,1730.0,1.5010277479519605,42.6509186351706,26.246719160104984
32,e40fe91a538bafc9ff7bc3b9eb711d4d8a4e342867ade7076a21982cde228444311420388f5f93c18d317c89cfbc7b5b64bd7e98c899b73d0070a2951db80c7f,2020-06-09T21:56:52Z,2020-06-09T22:22:27Z,1536.0,1536.0,0.9606212220631511,42.6509186351706,29.527559055118108
33,76a69a0ad5103bbdf7fb19b69224693f8a80a1735cbd9b7ae58afe6822dc9bc885cf8911804d96242d6a0fdce7b80a97224eee65e697a7bf0b64ec08dd71a76a,2020-05-31T13:13:33Z,2020-05-31T13:42:54Z,3842.0,3842.0,3.2961318400540836,91.86351706036744,88.58267716535433
34,76a69a0ad5103bbdf7fb19b69224693f8a80a1735cbd9b7ae58afe6822dc9bc885cf8911804d96242d6a0fdce7b80a97224eee65e697a7bf0b64ec08dd71a76a,2020-05-30T18:28:30Z,2020-05-30T19:03:46Z,4954.0,4814.0,3.4326284498528588,88.58267716535433,82.02099737532808
35,559b529cf9c993cec3bd6f0138f9d10cfc2f895844ae394782fe61e3bc8973a4036d43f44df87560180b23f43c3e39767ebc28d3305d182cb82c7ba53dba1c8f,2020-05-25T19:47:03Z,2020-05-25T20:36:01Z,2939.0,2939.0,2.215424421379146,78.74015748031495,78.74015748031495
