Athlete ID,Start,Stop,Total Time (s),Moving Time (s),Distance (mi),Elevation Gain (ft),Elevation Loss (ft)
a61084ed5a37a44feea368929b3bd3791ab8d56e12446274a8f38a40c556fb9fb8cd1894a1c7352bbe6ac4bc8dd0eccebb86732516d27471db766349f23e8ba9,2020-05-27T23:02:22Z,2020-05-28T02:27:22Z,20859.0,17644.0,8.74489854251173,1003.9370078740156,951.4435695538057
0edaea6af88bcb32f74cca924a8c41a18d1d3bead6d6b54e695992d28d4d9bf1ba09a06cb76d2bc7b906c8a38bbad32e47b5c5a3990fb1185d84cd41cf9d7ba7,2020-09-20T16:18:43Z,2020-09-20T22:17:17Z,21515.0,17230.0,13.030284389167262,1391.076115485564,1345.1443569553805
32708eff15460c829bc72c0573f338f8447238cd33968da79f144fd493785626a43192438229cbc46282c8a6a05992a7ffaccfd0b9def72216742d0de98386b3,2020-05-31T15:09:57Z,2020-05-31T18:40:40Z,23264.0,22595.0,13.617430456136164,1587.9265091863515,1604.3307086614172
e0ea672da88e7570ce91886eee35f8951f7a56903b93e97bcf275fbe60e27bf71590dbf254fe70e28b495f468a06f91ed74f96ba9a7ac67757cbc5455c890759,2020-09-28T18:30:27Z,2020-09-28T23:55:12Z,19486.0,18830.0,12.564100652191202,1430.4461942257217,1433.7270341207347
50300678d3211ebec26c56f7d41f6a8fdb1590588109fc8c47b90ac7ace219df1c5fd7b4f12f5702ba230bbc20729cbbb82138ec7e81c47222e111d516a3bebe,2019-07-07T14:08:06Z,2019-07-07T18:17:20Z,14954.0,13606.0,10.440806937485085,1220.4724409448818,1197.50656167979
5f78ff10547830da470e83c08f35db9ebaa6ed0e54364386915717ea80134518aa2c6d57a0c634684a61173c39dfa099aca1fec8cc370ec0ccbf86537cb01b1c,2020-09-28T17:17:24Z,2020-09-28T23:08:57Z,21094.0,19795.0,12.459250477213075,1374.6719160104985,1394.3569553805773
5a6f46a7fdce21cf63ab359395799101e1ca23bcac6002f9071950aefc36f4c6cd219bb9ab72d648238ac794d2eb24eadbcc20a23c3b9c5791315bca52a034ce,2020-08-14T13:28:09Z,2020-08-14T19:21:53Z,21224.0,20156.0,11.598116996739043,1509.1863517060365,1496.062992125984
12eb120d6ee62694628974ff0fd44ae4c892a8ec7c9fd40cadabed161547ea966a3b677d212d5bd27847237652db065307b8f1c24324fdec7d039f12ee7deec5,2020-10-31T17:15:17Z,2020-11-01T00:53:47Z,27818.0,24644.0,13.505192177682334,1427.1653543307084,1417.3228346456692
c0565006937722aa0a9c8dd042349aa61e23c87d3e8465ed1677df7fe8d332fe6c26eb13bb5d4acbb9700589beec08934df153721f9d7f7f8c63cc75e46b6557,2020-08-02T13:21:34Z,2020-08-02T17:28:41Z,14827.0,13859.0,8.231919341048277,971.1286089238844,987.53280839895
8fe74f1cb98b07e7e83ded237fa253bf786eb13bb2539a01e489d51a753f34aa7aee4ed809322530e4748f231f01b6726eb3eb9a1817d8f56e0916a21a0eb429,2019-07-05T19:19:48Z,2019-07-05T20:09:41Z,2993.0,2949.0,1.648100095442615,29.527559055118108,603.6745406824147
